epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
268,2021-05-25,12365028524.445436,0.003000,0.991343,0.200000,0.000000,1,37095085.573336,36773938.304715,29419150.643772,False
269,2021-05-30,12341518728.137774,0.003000,0.995787,0.200000,0.000000,1,37024556.184413,36868573.100488,29494858.480391,False
270,2021-06-04,12318321891.398928,0.003000,0.990509,0.200000,0.000000,1,36954965.674197,36604235.675900,29283388.540720,False
271,2021-06-09,12295113815.583719,0.003000,0.991204,0.200000,0.000000,1,36885341.446751,36560887.054395,29248709.643516,False
272,2021-06-14,12270780512.858536,0.003000,0.995324,0.200000,0.000000,1,36812341.538576,36640209.756381,29312167.805105,False
273,2021-06-19,12247689462.766312,0.003000,0.993704,0.200000,0.000000,1,36743068.388299,36511723.142891,29209378.514313,False
274,2021-06-24,12224475923.697968,0.003000,0.996343,0.200000,0.000000,1,36673427.771094,36539298.104709,29231438.483767,False
275,2021-06-29,12201340389.910656,0.003000,0.995602,0.200000,0.000000,1,36604021.169732,36443031.261810,29154425.009448,False
276,2021-07-04,12178189995.478895,0.003000,0.986019,0.200000,0.000000,1,36534569.986437,36023762.572737,28819010.058190,False
277,2021-07-09,12155122184.954569,0.003000,0.987176,0.200000,0.000000,1,36465366.554864,35997731.993026,28798185.594421,False
278,2021-07-14,12132264814.197796,0.003000,0.988519,0.200000,0.000000,1,36396794.442593,35978905.321215,28783124.256972,False
279,2021-07-19,12109284816.700840,0.003000,0.990926,0.200000,0.000000,1,36327854.450103,35998212.807870,28798570.246296,False
280,2021-07-24,12086332559.356592,0.003000,0.981667,0.200000,0.000000,1,36258997.678070,35594249.387305,28475399.509844,False
281,2021-07-29,12063362662.818909,0.003000,0.991250,0.200000,0.000000,1,36190087.988457,35873424.718558,28698739.774846,False
282,2021-08-03,12040662411.646400,0.003000,0.993148,0.200000,0.000000,1,36121987.234939,35874484.729811,28699587.783849,False
283,2021-08-08,12017762412.942030,0.003000,0.991296,0.200000,0.000000,1,36053287.238826,35739490.109155,28591592.087324,False
284,2021-08-13,11994919913.555264,0.003000,0.996157,0.200000,0.000000,1,35984759.740666,35846484.969440,28677187.975552,False
285,2021-08-18,11972182166.198574,0.003000,0.981528,0.200000,0.000000,1,35916546.498596,35253088.070219,28202470.456175,False
286,2021-08-23,11949345585.782633,0.003000,0.995556,0.200000,0.000000,1,35848036.757348,35688712.149537,28550969.719630,False
287,2021-08-28,11927003666.950876,0.003000,0.975231,0.200000,0.000000,1,35781011.000853,34894768.367267,27915814.693813,False
288,2021-09-02,11904389292.477516,0.003000,0.978519,0.200000,0.000000,1,35713167.877433,34945996.123028,27956796.898423,False
289,2021-09-07,11882381119.547453,0.003000,0.981250,0.200000,0.000000,1,35647143.358642,34978759.420668,27983007.536534,False
290,2021-09-12,11860319467.481270,0.003000,0.987037,0.200000,0.000000,1,35580958.402444,35119723.756486,28095779.005189,False
291,2021-09-17,11838146881.718588,0.003000,0.984306,0.200000,0.000000,1,35514440.645156,34957061.229475,27965648.983580,False
292,2021-09-22,11815842837.779699,0.003000,0.984444,0.200000,0.000000,1,35447528.513339,34896122.514243,27916898.011394,False
293,2021-09-27,11793690427.914623,0.003000,0.983472,0.200000,0.000000,1,35381071.283744,34796300.800026,27837040.640021,False
294,2021-10-02,11771504387.608669,0.003000,0.970370,0.200000,0.000000,1,35314513.162826,34268157.217261,27414525.773809,False
